centro;alMujer;alHombre
BAJO CINCA;76;49
BALTASAR GRACIAN;1;16
BIELLO ARAGON;42;76
ESCUELAS PIAS;21;7
HERMANOS ARGENSOLA;40;31
INSTITUTO DE FORMACION AGROAMBIENTAL;14;67
JOSE MOR DE FUENTES;33;122
LA LLITERA;17;29
MARTINEZ VARGAS;176;177
MONEGROS-GASPAR LAX;19;10
MONTEARAGON;196;258
NTRA. SRA. DE GUAYENTE;11;25
PIRAMIDE;83;327
PIRINEOS;45;46
RAMON J. SENDER;0;21
RAMON Y CAJAL;25;34
SAN ALBERTO MAGNO;5;38
SAN JOSE DE CALASANZ;10;9
SAN LORENZO;75;102
SANTO DOMINGO SAVIO;50;125
SIERRA DE GUARA;311;261
SIERRA DE SAN QUILEZ;38;55
SOBRARBE;8;19
