centro;alADG201;alAFD201;alAGA201
22000809;20;0;0
22002491;0;0;44
22002508;0;0;0
22002521;68;0;0
22002703;23;0;0
22002740;0;0;0
22003239;39;0;0
22003288;0;0;0
22003902;0;0;0
22004611;0;0;0
22004888;49;0;0
22004891;17;0;0
22004943;0;0;0
22005030;16;0;0
22005121;0;0;0
22005388;0;0;0
22005391;20;0;0
22005406;0;30;0
22005765;0;0;0
22010712;0;0;0
44003028;0;35;10
44003211;103;0;0
44003223;0;0;0
44003235;0;0;0
44003247;0;0;0
44004045;0;0;0
44004550;21;0;0
44004598;0;0;0
44004653;26;0;0
44004665;0;0;0
44005098;0;0;0
44010011;0;0;0
44010537;58;0;0
50000412;0;0;0
50000874;0;0;0
50001167;0;0;0
50001179;32;0;0
50001349;0;0;0
50001829;0;0;0
50001830;0;0;5
50003863;0;0;0
50005690;0;0;49
50005793;54;54;0
50006414;0;0;0
50006529;51;0;0
50006581;0;0;0
50006761;0;0;0
50007017;45;0;0
50007236;0;0;0
50007492;0;0;0
50007716;56;0;0
50007728;51;0;0
50007856;58;0;0
50008460;0;0;0
50008617;0;0;0
50008629;0;0;35
50008642;0;0;0
50008654;56;0;0
50008770;0;0;0
50009051;55;0;0
50009129;30;0;0
50009166;0;0;0
50009348;0;0;0
50009543;27;0;0
50009567;0;0;0
50009592;19;0;0
50009889;38;0;0
50010028;35;0;0
50010041;50;0;0
50010144;44;0;0
50010156;0;0;0
50010168;55;0;0
50010314;0;0;0
50010491;49;0;0
50010511;157;0;0
50010533;30;0;0
50010739;0;0;0
50010946;39;0;0
50010961;0;0;0
50011008;28;0;0
50011070;30;0;0
50011252;0;0;0
50011513;45;0;0
50011525;51;0;0
50011732;42;37;0
50011781;0;0;0
50011793;0;0;0
50017096;0;0;0
50018829;45;0;0
50018842;0;0;0
50019147;0;0;0
