Comunidades;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
ARAGÓN;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.308.728
ARAGÓN;0 años;TOTAL;Ambos sexos;2018;10.196
ARAGÓN;1 año;TOTAL;Ambos sexos;2018;11.119
ARAGÓN;2 años;TOTAL;Ambos sexos;2018;11.512
ARAGÓN;3 años;TOTAL;Ambos sexos;2018;11.832
ARAGÓN;4 años;TOTAL;Ambos sexos;2018;11.858
ARAGÓN;5 años;TOTAL;Ambos sexos;2018;12.154
ARAGÓN;6 años;TOTAL;Ambos sexos;2018;12.610
ARAGÓN;7 años;TOTAL;Ambos sexos;2018;12.867
ARAGÓN;8 años;TOTAL;Ambos sexos;2018;13.017
ARAGÓN;9 años;TOTAL;Ambos sexos;2018;13.498
ARAGÓN;10 años;TOTAL;Ambos sexos;2018;13.245
ARAGÓN;11 años;TOTAL;Ambos sexos;2018;12.920
ARAGÓN;12 años;TOTAL;Ambos sexos;2018;12.503
ARAGÓN;13 años;TOTAL;Ambos sexos;2018;12.688
ARAGÓN;14 años;TOTAL;Ambos sexos;2018;12.447
ARAGÓN;15 años;TOTAL;Ambos sexos;2018;11.996
ARAGÓN;16 años;TOTAL;Ambos sexos;2018;12.173
ARAGÓN;17 años;TOTAL;Ambos sexos;2018;11.953
ARAGÓN;18 años;TOTAL;Ambos sexos;2018;11.867
ARAGÓN;19 años;TOTAL;Ambos sexos;2018;11.675
ARAGÓN;20 años;TOTAL;Ambos sexos;2018;12.064
ARAGÓN;21 años;TOTAL;Ambos sexos;2018;12.092
ARAGÓN;22 años;TOTAL;Ambos sexos;2018;12.056
ARAGÓN;23 años;TOTAL;Ambos sexos;2018;12.400
ARAGÓN;24 años;TOTAL;Ambos sexos;2018;12.422
ARAGÓN;25 años;TOTAL;Ambos sexos;2018;12.757
ARAGÓN;26 años;TOTAL;Ambos sexos;2018;12.767
ARAGÓN;27 años;TOTAL;Ambos sexos;2018;12.868
ARAGÓN;28 años;TOTAL;Ambos sexos;2018;13.547
ARAGÓN;29 años;TOTAL;Ambos sexos;2018;14.033
ARAGÓN;30 años;TOTAL;Ambos sexos;2018;14.184
ARAGÓN;31 años;TOTAL;Ambos sexos;2018;14.805
ARAGÓN;32 años;TOTAL;Ambos sexos;2018;15.263
ARAGÓN;33 años;TOTAL;Ambos sexos;2018;15.725
ARAGÓN;34 años;TOTAL;Ambos sexos;2018;15.976
ARAGÓN;35 años;TOTAL;Ambos sexos;2018;17.134
ARAGÓN;36 años;TOTAL;Ambos sexos;2018;18.145
ARAGÓN;37 años;TOTAL;Ambos sexos;2018;19.384
ARAGÓN;38 años;TOTAL;Ambos sexos;2018;19.894
ARAGÓN;39 años;TOTAL;Ambos sexos;2018;20.780
ARAGÓN;40 años;TOTAL;Ambos sexos;2018;21.586
ARAGÓN;41 años;TOTAL;Ambos sexos;2018;21.786
ARAGÓN;42 años;TOTAL;Ambos sexos;2018;21.881
ARAGÓN;43 años;TOTAL;Ambos sexos;2018;21.438
ARAGÓN;44 años;TOTAL;Ambos sexos;2018;21.027
ARAGÓN;45 años;TOTAL;Ambos sexos;2018;21.236
ARAGÓN;46 años;TOTAL;Ambos sexos;2018;20.764
ARAGÓN;47 años;TOTAL;Ambos sexos;2018;20.740
ARAGÓN;48 años;TOTAL;Ambos sexos;2018;20.244
ARAGÓN;49 años;TOTAL;Ambos sexos;2018;20.284
ARAGÓN;50 años;TOTAL;Ambos sexos;2018;20.345
ARAGÓN;51 años;TOTAL;Ambos sexos;2018;20.057
ARAGÓN;52 años;TOTAL;Ambos sexos;2018;19.788
ARAGÓN;53 años;TOTAL;Ambos sexos;2018;20.328
ARAGÓN;54 años;TOTAL;Ambos sexos;2018;19.630
ARAGÓN;55 años;TOTAL;Ambos sexos;2018;19.216
ARAGÓN;56 años;TOTAL;Ambos sexos;2018;18.728
ARAGÓN;57 años;TOTAL;Ambos sexos;2018;18.790
ARAGÓN;58 años;TOTAL;Ambos sexos;2018;18.265
ARAGÓN;59 años;TOTAL;Ambos sexos;2018;17.836
ARAGÓN;60 años;TOTAL;Ambos sexos;2018;17.497
ARAGÓN;61 años;TOTAL;Ambos sexos;2018;16.470
ARAGÓN;62 años;TOTAL;Ambos sexos;2018;15.891
ARAGÓN;63 años;TOTAL;Ambos sexos;2018;14.746
ARAGÓN;64 años;TOTAL;Ambos sexos;2018;14.809
ARAGÓN;65 años;TOTAL;Ambos sexos;2018;14.939
ARAGÓN;66 años;TOTAL;Ambos sexos;2018;13.708
ARAGÓN;67 años;TOTAL;Ambos sexos;2018;13.529
ARAGÓN;68 años;TOTAL;Ambos sexos;2018;13.885
ARAGÓN;69 años;TOTAL;Ambos sexos;2018;14.294
ARAGÓN;70 años;TOTAL;Ambos sexos;2018;13.145
ARAGÓN;71 años;TOTAL;Ambos sexos;2018;12.859
ARAGÓN;72 años;TOTAL;Ambos sexos;2018;13.014
ARAGÓN;73 años;TOTAL;Ambos sexos;2018;12.303
ARAGÓN;74 años;TOTAL;Ambos sexos;2018;11.910
ARAGÓN;75 años;TOTAL;Ambos sexos;2018;10.677
ARAGÓN;76 años;TOTAL;Ambos sexos;2018;9.743
ARAGÓN;77 años;TOTAL;Ambos sexos;2018;10.835
ARAGÓN;78 años;TOTAL;Ambos sexos;2018;7.509
ARAGÓN;79 años;TOTAL;Ambos sexos;2018;7.961
ARAGÓN;80 años;TOTAL;Ambos sexos;2018;9.036
ARAGÓN;81 años;TOTAL;Ambos sexos;2018;10.191
ARAGÓN;82 años;TOTAL;Ambos sexos;2018;9.693
ARAGÓN;83 años;TOTAL;Ambos sexos;2018;9.319
ARAGÓN;84 años;TOTAL;Ambos sexos;2018;9.162
ARAGÓN;85 años;TOTAL;Ambos sexos;2018;8.690
ARAGÓN;86 años;TOTAL;Ambos sexos;2018;7.689
ARAGÓN;87 años;TOTAL;Ambos sexos;2018;7.037
ARAGÓN;88 años;TOTAL;Ambos sexos;2018;6.219
ARAGÓN;89 años;TOTAL;Ambos sexos;2018;5.319
ARAGÓN;90 años;TOTAL;Ambos sexos;2018;4.425
ARAGÓN;91 años;TOTAL;Ambos sexos;2018;3.713
ARAGÓN;92 años;TOTAL;Ambos sexos;2018;2.972
ARAGÓN;93 años;TOTAL;Ambos sexos;2018;2.566
ARAGÓN;94 años;TOTAL;Ambos sexos;2018;1.982
ARAGÓN;95 años;TOTAL;Ambos sexos;2018;1.502
ARAGÓN;96 años;TOTAL;Ambos sexos;2018;1.085
ARAGÓN;97 años;TOTAL;Ambos sexos;2018;727
ARAGÓN;98 años;TOTAL;Ambos sexos;2018;419
ARAGÓN;99 años;TOTAL;Ambos sexos;2018;313
ARAGÓN;100 años y más;TOTAL;Ambos sexos;2018;550
