nombrecomarca;pctextranjeros
Caspe;31.56
Campo de Cariñena;29.0102
Jiloca;27.3161
Campo de Belchite;27.1255
Bajo Cinca;25.2833
Bajo Martín;24.2089
Valdejalón;22.9396
Cuencas mineras;22.6681
Gúdar - Javalambre;21.9072
Monegros;20.5826
Matarraña;20.5154
Campo de Daroca;20.4244
Maestrazgo;20.1087
Cinco Villas;19.9342
Cinca Medio;19.5944
Calatayud;18.0405
La Litera;17.6275
Bajo Aragón;17.2852
Ribera Baja del Ebro;17.2673
Campo de Borja;16.5609
No Comarca;16.0625
Somontano de Barbastro;15.2361
Andorra - Sierra de Arcos;15.1587
Alto Gallego;14.6629
Zaragoza;12.896
Sobrarbe;12.7729
Aranda;11.8033
Teruel;11.7841
Hoya de Huesca;11.436
Ribagorza;11.0406
Ribera Alta del Ebro;10.8805
Albarracín;10.6618
Tarazona y el Moncayo;8.8665
Jacetania;7.66859
